BillboardTitle,BillboardArtist,OriginChart,peakpos_alltime,weeksonchart_alltime,MyPart_id,Song Form,Pre-Chorus Section Lyrics,Tempo,Song Length,Vocal vs. Instrumental Prevalence,First Section Type,Intro Length,"Intro (Instrumental, Vocal)",Verse Count,Pre-Chorus Count,Chorus Count,Vocal Post-Chorus Count,Departure Section,Last Section Type,Outro Length,"Outro (Instrumental, Vocal)",Number of Distinct Sections,Melodic Interval Prevalence,Main Melodic Range (tones),Main Melodic Range,Number of Melodic Themes,Key,"Key (Major, Minor, Major Mode, Minor Mode)",Use of Parallel Mode,%Diatonic Chords,Chord Repetition,Use of Triads,Use of Inverted Chords,Use of 7th Chords,Use of Major 7th Chords,Chord Degree Prevalence,Timbre,Predominantly Acoustic vs Electronic,Prominent Instruments,Song Title Word Count,Song Title Appearances,Person References,Location References,Organization or Brand References,Consumer Goods References,Creative Works Title References,Literal Experiences vs. Abstract,Lyrical Sub Themes defining Lyrical Themes,Lyrical Moods,Use of In-Line Lyric Repetition,Line Repetition,Overall Repetitiveness,Average Word Repetition (Full Song),Common Words Prevalence 1k,Common Words Prevalence 10k,Common Words Prevalence 50k,%Slang Words,%Abbreviations,%Non Dictionary Words,%Profanity Words,Average Consonance Alliteration,Average Assonance Alliteration,Rhyme Density,Percentage of Rhyming Syllables,Average Rhymes per Line,Number Of Rhyme Groups In The Song By ELR,End-of-Line Perfect Rhyme Percentage,End-of-Line Secondary Perfect Rhyme Percentage,End-of-Line Assonance Rhyme Percentage,End-of-Line Consonance Rhyme Percentage,Perfect Rhyme Percentage,Secondary Perfect Rhyme Percentage,Assonance Rhyme Percentage,Consonance Rhyme Percentage,End-of-Line Rhyme Percentage,Mid-Line Rhyme Percentage,Internal Rhyme Percentage,Mid-Word Rhyme Percentage,Lyrical Density,Average Number of Words per Line,Primary Genre,Sub-Genres,Influences,Production Mood,Danceability,Loudness Range
Send My Love (To Your New Lover),Adele,hot-100,8,27,[Adele].SendMyLoveToYourNewLover,A-PC-B,Lyrically Identical,163.9325409,3:43,Vocals Prevalence,Intro,0:35,Vocal,2,3,4,0,1,Outro,0:00,No Outro,6,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",12,Vertical,3,B Dorian,Dorian,0,0.816666667,3.529411765,0.333333333,0.25,0.416666667,0.1,"%I, %III, %IV",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",7,8,0.047029703,0,0,0,0,Abstract,"Infatuation, Love, Romantic, Sex","Optimistic, Reluctance, Positive",0.015625,0.25,0.258031088,4.697674419,0.591623037,0.790575916,0.858638743,0.002475248,0.044554455,0.012376238,0,0.846804408,0.583636364,0.320454545,0.165909091,1.216666667,0.193548387,0.722222222,0,0,0,0.4375,0,0.229166667,0.208333333,0.375,0.661290323,0.112903226,0.109756098,1.795172585,5.38028169,Pop,Pop,Classic Pop,Party,0.95773375,5.963072777
Senorita,Shawn Mendes & Camila Cabello,hot-100,1,38,[ShawnMendesAndCamilaCabello].Senorita,ABAB,No Pre-Chorus,117.0003052,3:10,Vocals Prevalence,Intro,0:00,No Intro,2,0,2,0,1,Outro,0:00,No Outro,5,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",11.5,Mixed-Vertical,1,A Minor,Minor,0,0.821705426,4.448275853,0.457364341,0.108527132,0.356589147,0.209302326,"%I, %III, %VI, %VII",Mixed,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",1,0,0.008356546,0.008356546,0.008356546,0,0.005571031,Both,Infatuation,"Reluctance, Bitter, Detached",0.012121212,0.260606061,0.358749314,3.544642857,0.481283423,0.839572193,0.914438503,0.007556675,0.062972292,0.198992443,0,1.108931257,0.785899216,0.399103139,0.237668161,1.927272727,0.17,0.076923077,0,0.076923077,0.076923077,0.382352941,0,0.117647059,0.058823529,0.382352941,0.62,0.01,0.131147541,1.932663473,6.049180328,,,,Other,0.959827006,6.037967682
Shake It Off,Taylor Swift,hot-100,1,50,[TaylorSwift].ShakeItOff,A-PC-B,Lyrically Differentiated,161.6620941,3:39,Vocals Prevalence,Intro,0:00,No Intro,2,2,3,0,1,Outro,0:00,No Outro,5,"%P1-%m2, %M2-%m3, %M3-%P5",10.5,Mixed-Vertical,2,C Major,Major,1,0.810344828,3.411764706,0.413793103,0.051724138,0.465517241,0.189655172,"%I, %V, %VI",Primarily Bright,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",3,44,0.051926298,0.001675042,0.003350084,0.001675042,0.005025126,Abstract,Friendship,"Dramatic, Cynical, Reluctance, Anger",0.402597403,0.275555556,0.238127544,5.2,0.332258065,0.787096774,0.890322581,0.003344482,0.056856187,0.043478261,0,2.754819663,3.341643983,1.365740741,0.49845679,4.306666667,0.061919505,0.428571429,0,0.571428571,0,0.598214286,0,0.232142857,0,0.0625,0.529411765,0.018575851,0.127027027,2.474296098,6.674418605,Pop,Pop,Classic Pop,"Party, Relaxed, Melancholic",0.76403296,6.545309544
Shallow,Lady Gaga & Bradley Cooper,hot-100,1,45,[LadyGagaAndBradleyCooper].Shallow,A-PC-B,Lyrically Identical,95.73151398,3:35,Vocals Prevalence,Intro,0:09,Instrumental,2,2,2,0,1,Chorus,0:00,No Outro,6,"%P1-%m2, %M2-%m3, %M3-%P5",11.5,Mixed-Vertical,3,G Major,Major,1,0.918699187,5.590909091,0.650406504,0.18699187,0.130081301,0.040650407,"%I, %IV, %V, %VI",Mixed,Primarily Acoustic,"Guitar, Bass Prevalence, String Section, Piano",1,6,0.010526316,0.005263158,0,0,0,Both,Yearning for Social company,"Dramatic, Nostalgic, Happy, Sad, Bitter",0,0.421568627,0.397828233,2.5875,0.516853933,0.752808989,0.898876404,0,0.033816425,0.140096618,0,0.632661937,0.590343915,0.516806723,0.323529412,2.264705882,0.191780822,0.1,0,0.2,0,0.614035088,0,0.105263158,0.122807018,0.175438596,0.493150685,0.342465753,0.094117647,0.957375957,4.813953488,Country,"Pop, Rock, Country","Classic Pop, DJ Pop",Other,0.879311562,10.12864017
Shape Of You,Ed Sheeran,hot-100,1,59,[EdSheeran].ShapeOfYou,A-PC-B,Lyrically Identical,95.97714996,3:53,Vocals Prevalence,Intro,0:00,No Intro,2,2,3,0,1,Outro,0:00,No Outro,6,"%P1-%m2, %M2-%m3, %M3-%P5",8.5,Mixed-Horizontal,2,E Major,Major,1,0.844594595,5.285714286,0.506756757,0.121621622,0.283783784,0.006756757,"%II, %V, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",3,6,0.040880503,0.006289308,0.001572327,0.007861635,0,Abstract,"Romantic, Success, Boasting, Holiday or Festivity, Lifestyle, Yearning for Social company, Friendship, Family","Dramatic, Cynical, Optimistic, Detached",0.007326007,0.538461538,0.241159605,4.478873239,0.692307692,0.887820513,0.987179487,0.001572327,0,0.009433962,0,1.671895739,1.235488134,0.478527607,0.158282209,1.417582418,0.159663866,0.425,0,0.175,0,0.403225806,0.016129032,0.290322581,0,0.64516129,0.537815126,0.067226891,0.373786408,2.415364583,6.424242424,Pop,Pop,Teen Pop,"Party, Relaxed, Melancholic",0.021577111,3.804869175
Shut Up And Dance,WALK THE MOON,hot-100,4,53,[WalkTheMoon].ShutUpAndDance,A-PC-B,Lyrically Identical,128.2952576,3:19,Vocals Prevalence,Chorus,0:00,No Intro,2,2,5,0,1,Outro,0:00,No Outro,4,"%P1-%m2, %M2-%m3",11,Mixed-Vertical,2,C# Major,Major,1,0.882716049,5.0625,0.604938272,0.030864198,0.283950617,0.049382716,"%I, %IV, %V, %VI",Mixed,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",4,12,0.042979943,0.00286533,0,0.005730659,0.00286533,Both,"Sex, Success, Materialized Dream",Other,0,0.26344086,0.277192982,4.308641975,0.539393939,0.927272727,0.987878788,0,0.00286533,0.063037249,0,0.160351118,0.172261905,0.234567901,0.160493827,1.048387097,0.2,0.37037037,0.074074074,0.037037037,0,0.489795918,0.06122449,0.163265306,0,0.551020408,0.483333333,0.15,0.144736842,1.417222473,4.716216216,Rock,"Pop, Rock",Classic Pop,"Party, Relaxed, Melancholic",0.711920261,7.502178192
Sicko Mode,Travis Scott,hot-100,1,52,[TravisScott].SickoMode,ABAB,No Pre-Chorus,77.417099,5:12,Vocals Prevalence,Intro,0:00,No Intro,2,0,2,0,1,Outro,0:00,No Outro,4,"%P1-%m2, %M2-%m3, %M3-%P5",5.5,Horizontal,3,G Minor,Minor,0,0.345070423,2.84,0.436619718,0.14084507,0.394366197,0.218309859,,Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",2,1,0.068741894,0.014267185,0.02464332,0.007782101,0.016861219,Literal,"Romantic, Holiday or Festivity, Lifestyle, Religion or Spirituality, Drugs or Alcohol Use or Alcohol Use, Family","Dramatic, Cynical, Detached",0.026936027,0.100694444,0.466649759,2.457142857,0.545023697,0.781990521,0.91943128,0.002583979,0.042635659,0.054263566,0.018087855,1.002599629,0.649732128,0.28050171,0.190421893,1.739583333,0.162337662,0.064935065,0,0.519480519,0.012987013,0.140625,0.0078125,0.546875,0.0234375,0.6015625,0.383116883,0.123376623,0.270742358,2.396700357,6.669811321,Hip Hop/Rap,Hip Hop/Rap,Trap,"Aggressive, Happy, Party, Relaxed, Melancholic",0.999999821,5.441458225
Side To Side,Ariana Grande Featuring Nicki Minaj,hot-100,4,28,[ArianaGrandeFeaturingNickiMinaj].SideToSide,A-PC-B,Lyrically Identical,161.5914459,3:46,Vocals Prevalence,Intro,0:12,Vocal,2,3,3,2,1,Outro,0:00,No Outro,6,"%P1-%m2, %M2-%m3, %M3-%P5",12,Vertical,3,F# Aeolian,Aeolian,0,0.888,4.807692308,0.496,0.072,0.352,0.144,"%I, %VI, %VII",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",3,12,0.063706564,0.001930502,0.017374517,0.007722008,0,Both,"Romantic, Sex","Dramatic, Reluctance, Anger, Sad, Bitter",0.046875,0.248677249,0.360091743,3.473333333,0.570934256,0.795847751,0.965397924,0.005758157,0.076775432,0.02303263,0.007677543,0.436828126,0.969723876,0.297504798,0.180422265,1.492063492,0.166666667,0.259259259,0.037037037,0.148148148,0,0.229508197,0.114754098,0.180327869,0.049180328,0.442622951,0.571428571,0.107142857,0.153153153,2.189443604,5.853333333,Pop,Pop,R&B Pop,"Party, Relaxed, Melancholic",0.928482294,4.104887009
Sign Of The Times,Harry Styles,hot-100,4,13,[HarryStyles].SignOfTheTimes,ABABC,No Pre-Chorus,119.9663239,5:40,Vocals Prevalence,Intro,0:17,Instrumental,3,0,3,0,1,Outro,0:17,Vocal,6,"%P1-%m2, %M2-%m3, %m6+",13,Vertical,5,F Major,Major,1,0.965517241,4.578947368,0.75862069,0.034482759,0.16091954,0.011494253,"%I, %V, %VI",Primarily Bright,Primarily Acoustic,"Bass Prevalence, Drums/Perc Prevalence, Piano, String Section, Guitar",4,4,0.005555556,0.008333333,0,0,0.002777778,Both,"Breakup, Success, Protest, Boasting, Friendship","Optimistic, Happy, Positive",0,0.377358491,0.282739726,4,0.691823899,0.918238994,0.93081761,0,0.022222222,0,0,0.772567042,0.621869489,0.189845475,0.119205298,1.018867925,0.235294118,0.210526316,0.052631579,0.052631579,0.052631579,0.111111111,0.027777778,0.222222222,0.333333333,0.527777778,0.411764706,0.117647059,0.406593407,1.054629825,5.806451613,Pop,"Pop, Rock",Classic Country,Other,0.452744722,9.7897892
Silly Watch,Lil Uzi Vert,hot-100,9,2,[LilUziVert].SillyWatch,ABABC,No Pre-Chorus,64.9768524,3:15,Vocals Prevalence,Verse,0:00,No Intro,3,0,3,0,1,Chorus,0:00,No Outro,3,"%P1-%m2, %M2-%m3",8,Mixed-Horizontal,3,Ab Major,Major,0,0.5,2.142857143,0.333333333,0.066666667,0.6,0.366666667,"%I, %III",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano",2,3,0.079152731,0.017837235,0.034559643,0.016722408,0.004459309,Both,"Breakup, Empowering, Boasting, Holiday or Festivity, Lifestyle, Drugs or Alcohol Use or Alcohol Use, Family","Dramatic, Cynical, Detached",0.037800687,0.380952381,0.362199313,3.393258427,0.4125,0.704166667,0.927083333,0,0.038631347,0.043046358,0.036423841,1.771203987,1.444193123,0.488667271,0.269265639,3.09375,0.055147059,0.147540984,0.016393443,0.344262295,0.008196721,0.174311927,0.013761468,0.353211009,0.059633028,0.559633028,0.503676471,0.095588235,0.266666667,4.623392529,8.598039216,Hip Hop/Rap,Hip Hop/Rap,Trap,Party,0.999694049,1.753852844
Smile,Juice WRLD & The Weeknd,hot-100,8,10,[JuiceWrldAndTheWeeknd].Smile,ABAB,No Pre-Chorus,78.11361695,3:24,Vocals Prevalence,Chorus,0:00,No Intro,2,0,2,0,0,Chorus,0:00,No Outro,4,"%P1-%m2, %M2-%m3, %M3-%P5",9.5,Mixed-Horizontal,2,F# Minor,Minor,1,0.736842105,4.342857143,0.598684211,0.098684211,0.190789474,0.046052632,"%I, %III, %VII",Mixed,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, String Section",1,8,0.007712082,0,0.007712082,0.007712082,0.002570694,Both,"Egocentric, Yearning for Social company, Drugs or Alcohol Use or Alcohol Use","Optimistic, Nostalgic, Happy, Reluctance, Anger, Sad, Positive",0.045454545,0.325757576,0.358240594,3.341880342,0.606217617,0.803108808,0.901554404,0.00511509,0.04859335,0.020460358,0.002557545,1.261682022,1.186269841,0.178649237,0.139433551,1.454545455,0.225806452,0,0,0.526315789,0.052631579,0.222222222,0,0.5,0.018518519,0.351851852,0.419354839,0.274193548,0.264367816,1.786954773,7.625,Hip Hop/Rap,Hip Hop/Rap,Trap,"Happy, Party, Relaxed, Melancholic",0.84230268,10.9623642
Somebody,Natalie La Rose Featuring Jeremih,hot-100,10,26,[NatalieLaRoseFeaturingJeremih].Somebody,A-PC-B,Lyrically Identical,104.9198608,3:09,Vocals Prevalence,Intro,0:00,No Intro,2,3,4,0,1,Chorus,0:00,No Outro,5,"%P1-%m2, %M2-%m3, %M3-%P5",4.5,Horizontal,2,G Mixolydian,Mixolydian,0,0.886904762,9.333333333,0.529761905,0.035714286,0.333333333,0.208333333,"%I, %II, %IV, %VII",Primarily Bright,Primarily Electronic,"Guitar, Bass Prevalence, Drums/Perc Prevalence",1,12,0.062015504,0.012919897,0.025839793,0.002583979,0,Abstract,"Breakup, Egocentric, Empowering, Protest, Boasting, Yearning for Social company, Family","Cynical, Nostalgic, Positive",0,0.241134752,0.250526316,4.552941176,0.623115578,0.748743719,0.773869347,0.002583979,0.118863049,0.010335917,0,0.510567034,0.518181818,0.48456057,0.171021378,1.531914894,0.205882353,0,0,0.148148148,0,0.254901961,0.019607843,0.215686275,0,0.529411765,0.529411765,0.058823529,0.13253012,1.938861896,5.74137931,Pop,"Pop, Hip Hop/Rap","Teen Pop, R&B","Party, Relaxed, Melancholic",0.929240704,2.429402351
Someone You Loved,Lewis Capaldi,hot-100,1,54,[LewisCapaldi].SomeoneYouLoved,A-PC-B,Lyrically Identical,109.9374619,3:02,Vocals Prevalence,Intro,0:00,No Intro,2,2,2,0,1,Outro,0:26,Vocal,5,"%P1-%m2, %M2-%m3, %M3-%P5",8.75,Mixed-Horizontal,5,Db Major,Major,1,0.946808511,5.529411765,0.680851064,0.031914894,0.095744681,0.063829787,"%I, %IV, %V, %VI",Primarily Bright,Primarily Electronic,"Piano, String Section, Guitar",3,5,0.055727554,0,0,0,0,Abstract,"Infatuation, Love, Romantic, Egocentric","Nostalgic, Anger, Sad, Bitter",0,0.181818182,0.315182575,3.364583333,0.614814815,0.896296296,0.992592593,0,0.021671827,0,0,1.362666223,0.526322751,0.312661499,0.129198966,1.515151515,0.217391304,0.0625,0,0.5,0.25,0.195121951,0,0.365853659,0.219512195,0.390243902,0.5,0.173913043,0.324324324,1.730307705,8.282051282,Pop,"Pop, Rock",Classic Pop,"Happy, Relaxed, Melancholic",0.047092538,7.013922691
Something Just Like This,The Chainsmokers & Coldplay,hot-100,3,39,[TheChainsmokersAndColdplay].SomethingJustLikeThis,A-PC-B,Lyrically Identical,102.9366302,4:07,Vocals Prevalence,Intro,0:00,No Intro,2,2,3,0,1,Outro,0:00,No Outro,4,"%P1-%m2, %M2-%m3",14,Vertical,2,D Major,Major,1,0.989361702,10.44444444,0.521276596,0.037234043,0.324468085,0.10106383,"%I, %IV, %V, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano, String Section, Guitar",4,12,0.052631579,0.003508772,0.003508772,0,0.024561404,Abstract,Empowering,Other,0.063492063,0.465608466,0.281990521,4.075,0.518518519,0.617283951,0.833333333,0,0.018404908,0.23006135,0,1.616212365,1.275235156,1.236009732,0.552311436,3.603174603,0.036036036,0.275862069,0,0.413793103,0.103448276,0.272727273,0,0.424242424,0.090909091,0.878787879,0.454954955,0.004504505,0.143396226,1.318898275,4.527777778,Pop,"Dance/Club/Electronic, Pop",Classic Pop,Relaxed,0.990720391,10.90434074
Sorry,Justin Bieber,hot-100,1,42,[JustinBieber].Sorry,ABAB,No Pre-Chorus,99.82214355,3:20,Vocals Prevalence,Intro,0:13,Instrumental,2,0,3,0,1,Outro,0:13,Vocal,7,"%P1-%m2, %M2-%m3, %M3-%P5",16,Vertical,2,Bb Mixolydian,Mixolydian,0,0.905511811,5.08,0.42519685,0.039370079,0.338582677,0.165354331,"%I, %II, %V, %VII",Mixed,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano",1,20,0.023054755,0,0,0,0.002881844,Literal,"Empowering, Protest, Introspection","Cynical, Reluctance, Anger, Sad, Positive, Bitter",0.007936508,0.341269841,0.345741325,3.401960784,0.785714286,0.875,0.976190476,0,0.017291066,0.025936599,0,1.13153715,0.460644841,0.397984887,0.206549118,1.952380952,0.146666667,0.291666667,0,0.208333333,0,0.365384615,0,0.423076923,0.019230769,0.461538462,0.506666667,0.16,0.171717172,1.690885151,6.979591837,Pop,Pop,Teen Pop,"Happy, Party, Relaxed",0.89343667,4.058432579
Sorry Not Sorry,Demi Lovato,hot-100,6,36,[DemiLovato].SorryNotSorry,A-PC-B,Lyrically Identical,143.9706421,3:23,Vocals Prevalence,Intro,0:15,Vocal,2,2,3,0,1,Outro,0:15,Vocal,7,"%P1-%m2, %M2-%m3, %M3-%P5",12,Vertical,4,B Minor,Minor,1,0.778571429,4.375,0.271428571,0.121428571,0.557142857,0.157142857,"%I, %IV, %V, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",3,1,0.086519115,0,0.012072435,0,0,Abstract,"Egocentric, Boasting","Optimistic, Nostalgic, Happy, Reluctance, Anger, Sad, Positive, Bitter",0.005050505,0.421875,0.270541082,4.477477477,0.62541806,0.742474916,0.983277592,0,0.044265594,0.028169014,0.012072435,1.258391601,0.471636905,0.435272045,0.170731707,1.421875,0.152941176,0.15,0,0.15,0,0.122807018,0,0.245614035,0.157894737,0.701754386,0.376470588,0.011764706,0.172727273,2.158831414,5.824324324,Pop,Pop,Teen Pop,"Aggressive, Party, Relaxed, Melancholic",0.289456427,7.927597046
Starboy,The Weeknd Featuring Daft Punk,hot-100,1,30,[TheWeekndDaftPunk].Starboy,A-PC-B,,92.9320755,3:50,Vocals Prevalence,Intro,0:18,No Intro,2,0,3,,0,Outro,0:18,No Outro,2,,,,,A Aeolian,Aeolian,0,0.76119403,4.322580645,0.597014925,0.119402985,0.23880597,0.037313433,"%I, %V, %VI, %VII",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano, Guitar",1,8,,,,,,,"Breakup, Boasting, Holiday or Festivity, Lifestyle, Religion or Spirituality, Drugs or Alcohol Use or Alcohol Use, Family","Dramatic, Cynical, Optimistic, Detached",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pop,"Pop, Hip Hop/Rap","R&B, R&B Pop","Party, Relaxed",0.989822388,4.575078011
Stargazing,Travis Scott,hot-100,8,8,[TravisScott].Stargazing,A-PC-B,Lyrically Identical,74.9606018,4:30,Vocals Prevalence,Intro,0:00,No Intro,2,2,2,0,1,Outro,0:14,Vocal,5,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",13.25,Vertical,1,G Aeolian,Aeolian,0,0.598214286,3.111111111,0.464285714,0.151785714,0.321428571,0.0625,"%I, %IV",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",1,0,0.047227926,0.016427105,0.022587269,0.004106776,0.006160164,Literal,"Sex, Lifestyle","Dramatic, Cynical, Nostalgic, Reluctance, Anger, Bitter",0.084848485,0.206060606,0.434266002,2.297169811,0.410909091,0.698181818,0.92,0.004106776,0.09650924,0.026694045,0.006160164,0.817151946,0.496776747,0.317626527,0.17452007,1.818181818,0.176470588,0.25,0,0.204545455,0,0.265625,0,0.28125,0.03125,0.6875,0.458823529,0.105882353,0.242424242,1.788599971,7.064516129,Hip Hop/Rap,Hip Hop/Rap,Trap,"Aggressive, Party, Relaxed, Melancholic",0.999999881,4.754624367
Stay,Zedd & Alessia Cara,hot-100,7,31,[ZeddAndAlessiaCara].Stay,A-PC-B,Lyrically Identical,101.9477692,3:30,Vocals Prevalence,Intro,0:00,No Intro,2,2,3,0,0,Chorus,0:00,No Outro,2,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",11,Mixed-Vertical,1,F Minor,Minor,0,0.925925926,6.136363636,0.466666667,0.103703704,0.259259259,0.103703704,"%I, %III, %VI, %VII",Mixed,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",1,16,0,0.009868421,0.003289474,0.006578947,0.003289474,Abstract,,"Optimistic, Positive",0,0.459259259,0.338235294,3.438202247,0.629310345,0.879310345,0.982758621,0,0.006535948,0.006535948,0,0.501810421,0.343303571,0.149051491,0.089430894,0.733333333,0.666666667,0.4,0,0.4,0,0.285714286,0,0.285714286,0,0.357142857,1,0.125,0.410714286,1.435810811,5.735849057,Pop,"Dance/Club/Electronic, Pop",Teen Pop,Party,0.942725122,5.501858711
Stir Fry,Migos,hot-100,8,21,[Migos].StirFry,ABABC,No Pre-Chorus,90.87621307,3:10,Vocals Prevalence,Intro,0:28,Vocal,3,0,3,0,1,Outro,0:00,No Outro,6,"%P1-%m2, %M2-%m3, %M3-%P5",11,Mixed-Vertical,1,A Dorian,Dorian,0,0.669724771,2.477272727,0.366972477,0.119266055,0.366972477,0.091743119,"%I, %III, %IV",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",2,22,0.029141104,0.041411043,0.023006135,0.009202454,0.006134969,Both,"Breakup, Empowering, Boasting, Lifestyle, Drugs or Alcohol Use or Alcohol Use","Dramatic, Cynical, Detached",0.076190476,0.128571429,0.333428817,3.174757282,0.301470588,0.803921569,0.911764706,0,0.059633028,0.02293578,0.006116208,2.493171298,1.801088028,0.731104651,0.25872093,2.542857143,0.10982659,0.156862745,0,0.176470588,0.019607843,0.175675676,0,0.209459459,0.344594595,0.344594595,0.427745665,0.213872832,0.307392996,1.64320934,7.38961039,Hip Hop/Rap,Hip Hop/Rap,"Trap, Hard Rock","Happy, Party",0.759803534,9.853151321
Stitches,Shawn Mendes,hot-100,4,52,[ShawnMendes].Stitches,A-PC-B,Lyrically Identical,150.0226135,3:26,Both,Intro,0:30,Instrumental,2,2,3,0,1,Outro,0:30,Vocal,8,"%P1-%m2, %M2-%m3, %M3-%P5",10,Mixed-Horizontal,2,Db Major,Major,1,0.823529412,4.387096774,0.242647059,0.139705882,0.448529412,0.220588235,"%I, %IV, %V, %VI",Mixed,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",1,8,0.011494253,0,0,0.002873563,0,Abstract,,"Anger, Sad, Bitter",0,0.377358491,0.278551532,3.411764706,0.335135135,0.702702703,0.902702703,0,0.022988506,0.002873563,0,0.402098411,0.501481481,0.394557823,0.131519274,1.094339623,0.259259259,0.583333333,0,0,0,0.722222222,0,0.055555556,0,0.444444444,0.5,0.12962963,0.325581395,1.451306176,5.612903226,Pop,"Pop, Rock",Teen Pop,"Happy, Relaxed",0.762142479,13.03521633
Stressed Out,twenty one pilots,hot-100,2,52,[TwentyOnePilots].StressedOut,ABAB,No Pre-Chorus,84.89141083,3:22,Vocals Prevalence,Intro,0:00,No Intro,2,0,2,0,1,Outro,0:00,No Outro,8,"%P1-%m2, %M2-%m3, %M3-%P5",10.5,Mixed-Vertical,4,A Minor,Minor,0,0.739495798,3.305555556,0.588235294,0.067226891,0.302521008,0.12605042,"%I, %III, %VI, %VII",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano",2,7,0.028301887,0.003773585,0.009433962,0,0,Both,"Egocentric, Empowering, Materialized Dream, Introspection, Yearning for Social company, Family","Dramatic, Nostalgic, Reluctance, Positive",0,0.219858156,0.29905838,3.587837838,0.634228188,0.859060403,0.946308725,0,0.018832392,0.030131827,0,1.572650781,0.928502285,0.375420875,0.153198653,2.068181818,0.157303371,0.045454545,0,0.272727273,0,0.31884058,0.014492754,0.31884058,0.014492754,0.31884058,0.528089888,0.191011236,0.283464567,2.356793478,9.74,Pop,"Pop, Rock",Alternative Pop,"Party, Relaxed, Melancholic",0.686107337,3.699267864
Strip That Down,Liam Payne Featuring Quavo,hot-100,10,28,[LiamPayneQuavo].StripThatDown,A-PC-B,Lyrically Identical,105.8441925,3:24,Vocals Prevalence,Intro,0:00,No Intro,2,2,3,0,1,Outro,0:15,Vocal,7,"%P1-%m2, %M2-%m3, %M3-%P5",8,Mixed-Horizontal,1,F# Major,Major,0,0.712871287,5.771428571,0.495049505,0.133663366,0.277227723,0.202970297,"%I, %IV, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",3,16,0.067039106,0.004189944,0.022346369,0.008379888,0.009776536,Both,"Love, Romantic, Egocentric, Yearning for Social company","Dramatic, Cynical, Reluctance, Detached",0.166666667,0.439393939,0.296834902,4.187134503,0.669491525,0.898305085,0.957627119,0.005586592,0.009776536,0.041899441,0,0.393049447,0.161243386,0.366261398,0.186930091,1.397727273,0.181034483,0.542372881,0,0.118644068,0,0.382352941,0.058823529,0.31372549,0.029411765,0.578431373,0.456896552,0.077586207,0.061068702,3.226969533,5.87,Hip Hop/Rap,Hip Hop/Rap,Classic Hip Hop,"Party, Relaxed",0.915620446,3.309954643
Stuck With U,Ariana Grande & Justin Bieber,hot-100,1,18,[ArianaGrandeAndJustinBieber].StuckWithU,A-PC-B,Lyrically Identical,89.43457031,3:44,Vocals Prevalence,Intro,0:00,No Intro,2,2,3,0,0,Outro,0:00,No Outro,1,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",11.5,Mixed-Vertical,2,Ab Major,Major,1,0.958762887,4.85,0.536082474,0.030927835,0.268041237,0.020618557,"%I, %III, %IV, %V, %VI",Mixed,Primarily Electronic,"Guitar, Bass Prevalence, Drums/Perc Prevalence",3,0,0.024813896,0.004962779,0,0,0,Both,"Egocentric, Success, Holiday or Festivity","Cynical, Optimistic, Reluctance, Positive, Detached",0.077380952,0.396226415,0.353640416,3.198412698,0.484210526,0.826315789,0.963157895,0.00248139,0.037220844,0.034739454,0,0.915607309,0.694748677,0.341517857,0.147321429,1.245283019,0.322033898,0.272727273,0,0.363636364,0,0.4,0,0.4,0.05,0.55,0.355932203,0.050847458,0.3125,1.567849362,6,Pop,Pop,"R&B, Teen Pop","Happy, Party",0.663763463,6.039568901
